giver,dato,kategori,maal,verdi_eur,verdi_eur_mrd
Australia,2022-03-01,Humanitarian,Allocation,23417159.978473667,0.023417159978473667
Australia,2022-03-20,Humanitarian,Allocation,21811411.865664043,0.021811411865664043
Australia,2022-03-20,Humanitarian,Allocation,8028740.564048114,0.008028740564048115
Australia,2022-03-20,Humanitarian,Allocation,6690617.136706762,0.006690617136706762
Australia,2022-03-20,Humanitarian,Allocation,5352493.70936541,0.00535249370936541
Australia,2022-07-01,Humanitarian,Allocation,538485.7012814678,0.0005384857012814678
Australia,2022-10-25,Humanitarian,Allocation,17448945.677462243,0.017448945677462243
Australia,2023-06-26,Humanitarian,Allocation,6189215.573191693,0.006189215573191693
Australia,2024-05-31,Humanitarian,Allocation,6128492.1959223235,0.006128492195922324
Australia,2024-05-31,Humanitarian,Allocation,612849.2195922324,0.0006128492195922324
Australia,2024-05-31,Humanitarian,Allocation,12256984.391844647,0.012256984391844647
Australia,2024-07-21,Humanitarian,Allocation,615106.4802804886,0.0006151064802804886
Australia,2024-12-18,Humanitarian,Allocation,39930665.84385295,0.03993066584385295
Australia,2024-12-18,Humanitarian,Allocation,6050100.885432266,0.006050100885432266
Australia,2024-12-18,Humanitarian,Allocation,48400.80708345812,4.840080708345812e-05
Australia,2026-01-23,Humanitarian,Allocation,5778947.020815217,0.005778947020815217
Australia,2022-02-28,Military,Allocation,2645059.4697537445,0.0026450594697537445
Australia,2022-03-01,Military,Allocation,46834319.956947334,0.04683431995694733
Australia,2022-03-20,Military,Allocation,14050295.9870842,0.0140502959870842
Australia,2022-03-31,Military,Allocation,16726542.841766905,0.016726542841766907
Australia,2022-03-31,Military,Allocation,0.0,0.0
Australia,2022-03-31,Military,Allocation,0.0,0.0
Australia,2022-03-31,Military,Allocation,0.0,0.0
Australia,2022-03-31,Military,Allocation,0.0,0.0
Australia,2022-04-08,Military,Allocation,33416605.64816011,0.03341660564816011
Australia,2022-04-08,Military,Allocation,18072245.911760062,0.01807224591176006
Australia,2022-04-08,Military,Allocation,0.0,0.0
Australia,2022-04-27,Military,Allocation,18208640.220528062,0.018208640220528063
Australia,2022-04-27,Military,Allocation,0.0,0.0
Australia,2022-05-19,Military,Allocation,40612799.185197756,0.04061279918519776
Australia,2022-05-19,Military,Allocation,0.0,0.0
Australia,2022-07-04,Military,Allocation,53512016.56484587,0.05351201656484587
Australia,2022-07-04,Military,Allocation,0.0,0.0
Australia,2022-07-04,Military,Allocation,0.0,0.0
Australia,2022-07-04,Military,Allocation,0.0,0.0
Australia,2022-07-04,Military,Allocation,5856032.0014359625,0.005856032001435962
Australia,2022-07-04,Military,Allocation,13462142.532036696,0.013462142532036696
Australia,2022-10-27,Military,Allocation,50378261.01706415,0.05037826101706415
Australia,2023-02-24,Military,Allocation,21271384.186981905,0.021271384186981906
Australia,2023-06-26,Military,Allocation,61892155.731916934,0.061892155731916934
Australia,2023-06-26,Military,Allocation,0.0,0.0
Australia,2023-06-26,Military,Allocation,0.0,0.0
Australia,2023-06-26,Military,Allocation,0.0,0.0
Australia,2023-06-26,Military,Allocation,0.0,0.0
Australia,2023-07-12,Military,Allocation,44763393.491544686,0.044763393491544685
Australia,2023-10-24,Military,Allocation,12021529.46640802,0.01202152946640802
Australia,2023-10-24,Military,Allocation,0.0,0.0
Australia,2023-10-24,Military,Allocation,0.0,0.0
Australia,2023-10-24,Military,Allocation,0.0,0.0
Australia,2024-02-15,Military,Allocation,30241848.3817731,0.0302418483817731
Australia,2024-04-27,Military,Allocation,18215568.238988258,0.018215568238988258
Australia,2024-04-27,Military,Allocation,9107784.119494129,0.009107784119494129
Australia,2024-04-27,Military,Allocation,0.0,0.0
Australia,2024-04-27,Military,Allocation,0.0,0.0
Australia,2024-04-27,Military,Allocation,0.0,0.0
Australia,2024-04-27,Military,Allocation,0.0,0.0
Australia,2024-04-27,Military,Allocation,30359280.398313764,0.030359280398313763
Australia,2024-04-27,Military,Allocation,3035928.0398313766,0.0030359280398313767
Australia,2024-07-11,Military,Allocation,153776620.07012215,0.15377662007012216
Australia,2024-07-11,Military,Allocation,0.0,0.0
Australia,2024-07-11,Military,Allocation,0.0,0.0
Australia,2024-07-11,Military,Allocation,0.0,0.0
Australia,2024-07-11,Military,Allocation,0.0,0.0
Australia,2024-07-11,Military,Allocation,0.0,0.0
Australia,2024-07-11,Military,Allocation,0.0,0.0
Australia,2024-07-11,Military,Allocation,0.0,0.0
Australia,2024-10-17,Military,Allocation,150773264.83651733,0.15077326483651735
Australia,2024-11-05,Military,Allocation,8606632.962233275,0.008606632962233275
Australia,2025-03-25,Military,Commitment,0.0,0.0
Australia,2025-12-04,Military,Allocation,4820337.774705244,0.0048203377747052445
Australia,2025-12-04,Military,Allocation,23534590.311796192,0.02353459031179619
Australia,2025-12-04,Military,Allocation,24385238.154391233,0.024385238154391232
Australia,2025-12-04,Military,Allocation,0.0,0.0
Australia,2025-12-04,Military,Allocation,0.0,0.0
Australia,2025-12-04,Military,Allocation,1134197.1234600574,0.0011341971234600575
Australia,2025-03-25,Military,Commitment,0.0,0.0
Austria,2022-02-25,Humanitarian,Allocation,1041781.8828855833,0.0010417818828855833
Austria,2022-02-25,Humanitarian,Allocation,0.0,0.0
Austria,2022-02-25,Humanitarian,Allocation,0.0,0.0
Austria,2022-02-25,Humanitarian,Allocation,0.0,0.0
Austria,2022-02-25,Humanitarian,Allocation,0.0,0.0
Austria,2022-02-25,Humanitarian,Allocation,0.0,0.0
Austria,2022-02-25,Humanitarian,Allocation,0.0,0.0
Austria,2022-02-25,Humanitarian,Allocation,0.0,0.0
Austria,2022-05-04,Humanitarian,Commitment,0.0,0.0
Austria,2022-06-03,Humanitarian,Allocation,10817903.35903084,0.010817903359030842
Austria,2022-09-04,Humanitarian,Commitment,0.0,0.0
Austria,2022-09-04,Humanitarian,Allocation,200000000.0,0.2
Austria,2022-09-04,Humanitarian,Allocation,350000000.0,0.35
Austria,2022-09-04,Humanitarian,Allocation,75000000.0,0.075
Austria,2022-09-11,Humanitarian,Allocation,1835159.2368381193,0.0018351592368381193
Austria,2022-09-11,Humanitarian,Allocation,0.0,0.0
Austria,2022-09-11,Humanitarian,Allocation,0.0,0.0
Austria,2022-11-01,Humanitarian,Allocation,5005199.0,0.005005199
Austria,2022-11-01,Humanitarian,Allocation,5000000.0,0.005
Austria,2022-11-01,Humanitarian,Allocation,5315513.215819774,0.005315513215819774
Austria,2022-11-01,Humanitarian,Allocation,0.0,0.0
Austria,2022-12-09,Humanitarian,Allocation,0.0,0.0
Austria,2022-12-16,Humanitarian,Allocation,5000000.0,0.005
Austria,2023-01-31,Humanitarian,Allocation,5000000.0,0.005
Austria,2023-02-24,Humanitarian,Allocation,3147960.0,0.00314796
Austria,2023-03-20,Humanitarian,Allocation,18000000.0,0.018
Austria,2023-04-19,Humanitarian,Allocation,1157943.2577411497,0.0011579432577411496
Austria,2023-05-27,Humanitarian,Allocation,2000000.0,0.002
Austria,2023-06-07,Humanitarian,Allocation,1000000.0,0.001
Austria,2023-09-25,Humanitarian,Allocation,1000000.0,0.001
Austria,2024-05-16,Humanitarian,Allocation,5000000.0,0.005
Austria,2024-06-15,Humanitarian,Allocation,6000000.0,0.006
Austria,2024-06-15,Humanitarian,Allocation,2000000.0,0.002
Austria,2024-06-15,Humanitarian,Allocation,2000000.0,0.002
Austria,2024-07-12,Humanitarian,Allocation,737729.237332307,0.000737729237332307
Austria,2024-11-20,Humanitarian,Allocation,8000000.0,0.008
Austria,2024-12-13,Humanitarian,Allocation,170000.0,0.00017
Austria,2024-12-13,Humanitarian,Allocation,9000000.0,0.009
Austria,2024-12-13,Humanitarian,Allocation,1000000.0,0.001
Austria,2024-12-13,Humanitarian,Allocation,1000000.0,0.001
Austria,2025-05-13,Humanitarian,Commitment,0.0,0.0
Austria,2025-06-26,Humanitarian,Allocation,0.0,0.0
Austria,2025-08-20,Humanitarian,Allocation,2000000.0,0.002
Austria,2025-10-22,Humanitarian,Allocation,5000000.0,0.005
Austria,2025-10-22,Humanitarian,Allocation,0.0,0.0
Austria,2025-10-22,Humanitarian,Allocation,0.0,0.0
Austria,2025-12-01,Humanitarian,Allocation,1045000.0,0.001045
Austria,2025-12-15,Humanitarian,Allocation,1000000.0,0.001
Austria,2025-05-13,Humanitarian,Commitment,0.0,0.0
Austria,2026-01-01,Humanitarian,Allocation,2000000.0,0.002
Austria,2026-01-22,Humanitarian,Allocation,1000000.0,0.001
Austria,2026-01-22,Humanitarian,Allocation,3000000.0,0.003
Austria,2026-02-20,Humanitarian,Allocation,14100000.0,0.0141
Austria,2026-02-20,Humanitarian,Allocation,3500000.0,0.0035
Austria,2022-03-13,Military,Allocation,3255638.6286873217,0.0032556386286873218
Austria,2022-03-13,Military,Allocation,0.0,0.0
Austria,2022-03-13,Military,Allocation,0.0,0.0
Austria,2022-03-13,Military,Allocation,0.0,0.0
Austria,2022-03-07,Financial,Allocation,10000000.0,0.01
Austria,2022-12-05,Financial,Allocation,20000000.0,0.02
Austria,2022-11-09,Financial,Allocation,10000000.0,0.01
Austria,2023-07-11,Financial,Allocation,15000000.0,0.015
Austria,2023-10-12,Financial,Allocation,30000000.0,0.03
Austria,2023-10-12,Financial,Allocation,10000000.0,0.01
Austria,2024-12-03,Financial,Allocation,10000000.0,0.01
Austria,2025-11-30,Financial,Allocation,14705627.930312624,0.014705627930312624
Belgium,2022-03-01,Humanitarian,Allocation,3400000.0,0.0034
Belgium,2022-03-01,Humanitarian,Allocation,0.0,0.0
Belgium,2022-03-01,Humanitarian,Allocation,0.0,0.0
