land,aar,financial_allocation,humanitarian_allocation,military_allocation,total_allocation,financial_commitment,humanitarian_commitment,military_commitment,total_commitment,per_capita_eur,andel_bnp_pct
Australia,2022,0.0,0.08328785463300171,0.31377496133658084,0.39706281596958265,0.0,0.08328785463300171,0.31377496133658084,0.39706281596958265,14.599608805972652,0.030246156337139295
Australia,2023,0.0,0.006189215573191693,0.13994846287685156,0.14613767845004325,0.0,0.006189215573191693,0.13994846287685156,0.14613767845004325,5.373338553432043,0.011131999500767169
Australia,2024,0.0,0.06564259982400837,0.4041169270472734,0.46975952687128175,0.0,0.06564259982400837,0.4041169270472734,0.46975952687128175,17.27259529062751,0.03578380930965297
Australia,2025,0.0,0.0,0.05387436336435273,0.05387436336435273,0.0,0.0,0.03344225751408744,0.03344225751408744,1.9809072976771223,0.004103865563193133
Australia,2026,0.0,0.005778947020815217,0.0,0.005778947020815217,0.0,0.005778947020815217,0.0,0.005778947020815217,0.21248619216161133,0.0004402097804822208
Austria,2022,0.04,0.6590155566945742,0.0032556386286873218,0.7022711953232615,0.04,0.7134155566945742,0.0032556386286873218,0.7566711953232615,76.51695060235043,0.17290988428529716
Austria,2023,0.055,0.03130590325774115,0.0,0.08630590325774114,0.055,0.03130590325774115,0.0,0.08630590325774114,9.403581665091645,0.021249830328815947
Austria,2024,0.01,0.023907729237332306,0.0,0.033907729237332304,0.01,0.01990772923733231,0.0,0.029907729237332308,3.694464560655306,0.008348600338229071
Austria,2025,0.014705627930312624,0.020045,0.0,0.034750627930312625,0.014705627930312624,0.033045,0.0,0.04775062793031262,3.7863037790129273,0.008556134858280641
Austria,2026,0.0,0.0236,0.0,0.0236,0.0,0.0,0.0,0.0,2.57137135374639,0.005810680113762381
Belgium,2022,0.00806,0.00443,0.14701188640000004,0.15950188640000001,0.00806,0.06423,0.14701188640000004,0.2193018864,13.450302050577598,0.03175357415596268
Belgium,2023,0.020499999999999997,0.045410000000000006,0.18067313013166597,0.246583130131666,0.4505,0.07039999999999999,1.430273130131666,1.951173130131666,20.79359470727733,0.049089674642526684
Belgium,2024,0.02,0.08379,1.2503,1.35409,0.0,0.11761,0.0,0.11761,114.18623261916869,0.26957171604239727
Belgium,2025,0.0,0.27849,1.1430000000658287,1.4214900000658288,0.0,0.27849,1.143,1.4214900000000001,119.86986670999626,0.28298968211481723
Belgium,2026,0.0,8.0342875e-05,0.0,8.0342875e-05,0.0,8.0342875e-05,0.0,8.0342875e-05,0.006775066807998577,1.599462863290462e-05
Bulgaria,2022,0.0,0.000706,0.23345321709361957,0.2341592170936196,0.0,0.000706,0.02240028938502888,0.023106289385028882,36.35210570674073,0.3294809586856592
Bulgaria,2023,0.0,0.0001632389902597844,0.002782765770537547,0.0029460047607973313,0.0,0.0001632389902597844,0.002782765770537547,0.0029460047607973313,0.4573532394167888,0.004145266989391849
Bulgaria,2024,6e-05,0.001086306882094284,0.0,0.001146306882094284,6e-05,0.001086306882094284,0.0,0.001146306882094284,0.17795869608496076,0.0016129465034442365
Bulgaria,2026,0.0,1.6304e-05,0.0,1.6304e-05,0.0,1.6304e-05,0.0,1.6304e-05,0.002531118521829267,2.2941046767607083e-05
Canada,2022,1.902545943451855,0.33368521662125755,1.4026648952747225,3.6388960553478342,1.902545943451855,0.3338297834066431,1.0605417089710507,3.296917435829549,88.13319278156747,0.21645578668899063
Canada,2023,1.6225413053194566,0.007587952950218517,0.8839486157839636,2.514077874053639,1.6225413053194566,0.007587952950218517,0.9757248931321779,2.605854151401853,60.89036525685066,0.14954719666309566
Canada,2024,1.6353710217892399,0.1416528375371831,0.38515714455150696,2.1621810038779303,5.256470494640462,0.1416528375371831,1.1189166501939587,6.517039982371604,52.36750716288363,0.12861499285492842
Canada,2025,3.2637076603411237,0.07295913926102413,2.023429529411897,5.360096329014044,1.5462323471807027,0.0614295540939403,1.2968361741164698,2.9044980753911127,129.82025205103335,0.31883951890310386
Canada,2026,0.0,0.012391228249522164,0.285772701504605,0.2981639297541271,0.0,0.012391228249522164,1.0408631729598619,1.053254401209384,7.221459118875094,0.017735958102557382
China,2022,0.0,0.002145430326683743,0.0,0.002145430326683743,0.0,0.002145430326683743,0.0,0.002145430326683743,0.0015226887110727607,1.4308548360146507e-05
China,2023,0.0,0.0002,0.0,0.0002,0.0,0.0002,0.0,0.0002,0.00014194716016962684,1.333862785678402e-06
China,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,2022,0.0,0.004441588160620957,0.07879172388906555,0.08323331204968651,0.0,0.009441588160620958,0.07879172388906555,0.08823331204968651,21.528454826363486,0.14276451948061625
Croatia,2023,0.001,0.08189362775566866,0.13203399544711186,0.21492762320278053,0.001,0.08189362775566866,0.13203399544711186,0.21492762320278053,55.59143945030793,0.3686509414804848
Croatia,2024,0.0,0.006055131507256427,0.0,0.006055131507256427,0.0,0.006055131507256427,0.0,0.006055131507256427,1.5661713070344077,0.01038596108622184
Croatia,2025,0.0,0.002,0.045,0.047,0.0,0.002,0.045,0.047,12.15663959443381,0.0806159487151423
Croatia,2026,0.0,0.0035,0.0,0.0035,0.0,0.0035,0.0,0.0035,0.9052816719259221,0.006003315329851023
Cyprus,2022,0.0,0.003,0.0,0.003,0.0,0.003,0.0,0.003,2.208672425902721,0.012490275540694588
Cyprus,2023,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.001,0.7362241419675738,0.0041634251802315295
Czechia,2022,0.0,0.03187370762493112,0.20091608487513052,0.23278979250006165,0.0,0.0493688820348868,0.20091608487513052,0.25028496691001734,21.347014652329335,0.09771166722026435
