land,total_allocation_eur_mrd,andel_bnp_pct,per_capita_eur,bnp_eur_mrd,folketall,referanseaar_bnp,referanseaar_folketall
Australia,1.0726133316760755,0.08170604049123478,39.43893613987094,1312.7711552625572,27196812,2021,2024
Austria,0.8808354557486475,0.21687512992438515,95.9726719608567,406.14866999999316,9177982,2021,2024
Belgium,3.1817453594724947,0.6334206415843368,268.30677115382787,502.3115999999917,11858610,2021,2024
Bulgaria,0.23826783273651123,0.3352621132252629,36.989948760764314,71.06911975359974,6441421,2021,2024
Canada,13.973415192047575,0.8311934532126759,338.43277637121025,1681.126714609989,41288599,2021,2024
Croatia,0.3547160667597235,0.6084206860923163,91.74798685006556,58.30111876010444,3866200,2021,2024
Cyprus,0.004,0.016653700720926118,2.944896567870295,24.018685498375877,1358282,2021,2024
Czechia,0.6319484295596164,0.26525533609675583,57.950188624881704,238.24155203011782,10905028,2021,2024
Denmark,11.019991454753661,3.2723276461638813,1843.7353529590907,336.76308262322976,5976992,2021,2024
Estonia,0.9575040096824355,3.045020381142258,697.7158080115915,31.44491299999948,1372341,2021,2024
EU (Commission and Council),84.4252911857266,0.5813049773616742,,14523.407586995285,,2021,
Finland,3.605086963199712,1.4341926200335646,641.4847073556346,251.36699999999593,5619911,2021,2024
France,7.9066323215465095,0.3161552708276173,115.33831753913374,2500.8699999999612,68551653,2021,2024
Germany,25.294509050280748,0.7022838634075417,302.8680665922369,3601.7499999999454,83516593,2021,2024
Greece,0.16854554321491808,0.0927733087886375,16.198305876206696,181.67460599999734,10405134,2021,2024
Hungary,0.05409024949918937,0.03518032128089816,5.656754006502713,153.75143696757178,9562065,2021,2024
Iceland,0.09786482405316962,0.45210052767041753,253.20389347945343,21.646695383756185,386506,2021,2024
Ireland,0.4746338355681178,0.11134231252844778,87.96373386809304,426.2834359999929,5395790,2021,2024
Italy,4.094982272697085,0.2297904858749875,69.46216195099525,1782.0503999999682,58952704,2021,2024
Japan,11.03762466737774,0.26421709260774134,89.03078553705429,4177.483204602618,123975371,2021,2024
Latvia,0.6544578752848933,1.9422476812904526,350.7043879639795,33.695901999999485,1866124,2021,2024
Lithuania,1.4175147589645245,2.52320772274116,490.78196730526787,56.17907499999906,2888278,2021,2024
Luxembourg,0.342237610395719,0.4733902453094345,505.51188220551336,72.29502799999887,677012,2021,2024
Malta,0.00217,0.01478080989292556,3.814734014594434,14.681198227430098,568847,2021,2024
Netherlands,10.441311734218472,1.2192723276556265,580.2829042966647,856.3559999999881,17993485,2021,2024
New Zealand,0.0799627879217503,0.037847390823155934,15.122985895366485,211.2768837761655,5287500,2021,2024
Norway,10.005076182274344,2.45417337635453,1795.5088362004744,407.67601338484286,5572279,2021,2024
Poland,5.8640651863910715,1.0207843141187438,160.39902112801633,574.4666238776988,36559233,2021,2024
Portugal,0.3845588256559647,0.17930599474420109,35.95795196284627,214.4707019999964,10694681,2021,2024
South Korea,0.6387923557966743,0.04171970620101123,12.343559611704112,1531.1525750418416,51751065,2021,2024
Romania,0.5373405496521161,0.22371071793670663,28.204182115883413,240.19437003646075,19051804,2021,2024
Slovakia,0.7208154775265485,0.7316216685795957,132.94103736535786,98.5229809999987,5422069,2021,2024
Slovenia,0.13502794684007038,0.2586342533113323,63.47087846200545,52.208067999999145,2127400,2021,2024
Spain,2.2277347072612894,0.18459207644922254,45.604659338098706,1206.84199999998,48848840,2021,2024
Sweden,10.320252379923687,1.9202255149392804,976.3989131511272,537.450018220908,10569709,2021,2024
Switzerland,1.162317493482616,0.1717025736718412,129.0663383535474,676.9365587402567,9005582,2021,2024
Turkiye,0.07078503403031376,0.01022182133841969,0.8277144801216398,692.4894467120205,85518661,2021,2024
United Kingdom,20.009253940167564,0.7557616168130542,289.04246872804384,2647.5615452057377,69226000,2021,2024
United States,115.38064937220787,0.5853093437281723,339.24410984395445,19712.763961238354,340110988,2021,2024
China,0.002345430326683743,1.564241114582491e-05,0.0016646358712423875,14994.046025377347,1408975000,2021,2024
Taiwan,0.052697419597393255,0.008042240309020135,,655.2579576400882,,2021,
India,0.0027113388999334786,0.00010096070248846814,0.0018686828988240727,2685.5388612645315,1450935791,2021,2024
