land,aar,maaned,kategori,maal,sum_eur,sum_nok
Australia,2022,2,Military,Allocation,2645059.4697537445,26309084.015905622
Australia,2022,3,Humanitarian,Allocation,65300423.254258,636904868.1512079
Australia,2022,3,Military,Allocation,77611158.78579845,760412054.746702
Australia,2022,4,Military,Allocation,69697491.78044824,667705694.8213234
Australia,2022,5,Military,Allocation,40612799.185197756,418726082.1592259
Australia,2022,7,Humanitarian,Allocation,538485.7012814678,5581458.142352542
Australia,2022,7,Military,Allocation,72830191.09831853,749845081.5100679
Australia,2022,10,Humanitarian,Allocation,17448945.677462243,181311994.53451017
Australia,2022,10,Military,Allocation,50378261.01706415,521011975.43847746
Australia,2023,2,Military,Allocation,21271384.186981905,232645128.8530211
Australia,2023,6,Humanitarian,Allocation,6189215.573191693,72463335.93092835
Australia,2023,6,Military,Allocation,61892155.731916934,724633359.3092835
Australia,2023,7,Military,Allocation,44763393.491544686,507214011.6526928
Australia,2023,10,Military,Allocation,12021529.46640802,142160596.70500803
Australia,2024,2,Military,Allocation,30241848.3817731,343577639.4653242
Australia,2024,4,Military,Allocation,60718560.79662753,716448658.1198065
Australia,2024,5,Humanitarian,Allocation,18998325.807359204,216257942.66516978
Australia,2024,7,Humanitarian,Allocation,615106.4802804886,7273941.682556918
Australia,2024,7,Military,Allocation,153776620.07012215,1794957597.7685008
Australia,2024,10,Military,Allocation,150773264.83651733,1790206360.0363886
Australia,2024,11,Military,Allocation,8606632.962233275,102935330.22830997
Australia,2024,12,Humanitarian,Allocation,46029167.536368676,541395068.5627683
Australia,2025,3,Military,Commitment,0.0,0.0
Australia,2025,12,Military,Allocation,53874363.36435272,634747749.1588038
Australia,2026,1,Humanitarian,Allocation,5778947.020815217,66700606.514249235
Austria,2022,2,Humanitarian,Allocation,1041781.8828855833,10392399.350913426
Austria,2022,3,Financial,Allocation,10000000.0,98325000.0
Austria,2022,3,Military,Allocation,3255638.6286873217,31916002.16861042
Austria,2022,5,Humanitarian,Commitment,0.0,0.0
Austria,2022,6,Humanitarian,Allocation,10817903.35903084,109293277.63628858
Austria,2022,9,Humanitarian,Allocation,626835159.2368381,6270508995.756898
Austria,2022,9,Humanitarian,Commitment,0.0,0.0
Austria,2022,11,Financial,Allocation,10000000.0,103219999.99999999
Austria,2022,11,Humanitarian,Allocation,15320712.215819774,156018472.84980068
Austria,2022,12,Financial,Allocation,20000000.0,206732000.0
Austria,2022,12,Humanitarian,Allocation,5000000.0,52416500.0
Austria,2023,1,Humanitarian,Allocation,5000000.0,54541500.0
Austria,2023,2,Humanitarian,Allocation,3147960.0,34429238.519999996
Austria,2023,3,Humanitarian,Allocation,18000000.0,205578000.0
Austria,2023,4,Humanitarian,Allocation,1157943.2577411497,13355138.563157551
Austria,2023,5,Humanitarian,Allocation,2000000.0,23643600.0
Austria,2023,6,Humanitarian,Allocation,1000000.0,11797500.0
Austria,2023,7,Financial,Allocation,15000000.0,171780000.0
Austria,2023,9,Humanitarian,Allocation,1000000.0,11430000.0
Austria,2023,10,Financial,Allocation,40000000.0,460660000.0
Austria,2024,5,Humanitarian,Allocation,5000000.0,58210000.0
Austria,2024,6,Humanitarian,Allocation,10000000.0,114025000.0
Austria,2024,7,Humanitarian,Allocation,737729.237332307,8633276.399881324
Austria,2024,11,Humanitarian,Allocation,8000000.0,93152000.0
Austria,2024,12,Financial,Allocation,10000000.0,116290000.0
Austria,2024,12,Humanitarian,Allocation,11170000.0,130418686.0
Austria,2025,5,Humanitarian,Commitment,0.0,0.0
Austria,2025,6,Humanitarian,Allocation,0.0,0.0
Austria,2025,8,Humanitarian,Allocation,2000000.0,23901000.0
Austria,2025,10,Humanitarian,Allocation,5000000.0,58215000.0
Austria,2025,11,Financial,Allocation,14705627.930312624,173004359.78616285
Austria,2025,12,Humanitarian,Allocation,2045000.0,24208195.0
Austria,2026,1,Humanitarian,Allocation,6000000.0,69990000.0
Austria,2026,2,Humanitarian,Allocation,17600000.0,198070400.0
Belgium,2022,2,Military,Allocation,76000000.0,758145600.0
Belgium,2022,3,Humanitarian,Allocation,3630000.0,35796318.0
Belgium,2022,3,Military,Allocation,11000000.0,105856300.0
Belgium,2022,4,Humanitarian,Commitment,0.0,0.0
Belgium,2022,5,Military,Allocation,2646400.0,26413189.12
Belgium,2022,7,Humanitarian,Allocation,800000.0,8221040.000000001
Belgium,2022,7,Military,Allocation,10639008.0,109329637.9104
Belgium,2022,8,Financial,Allocation,3100000.0,30784550.0
Belgium,2022,8,Military,Allocation,8000000.0,77120000.0
Belgium,2022,9,Military,Allocation,26761099.4,272923072.2309
Belgium,2022,10,Military,Allocation,3235699.0,33229010.880500004
Belgium,2022,11,Financial,Allocation,4960000.0,51393040.0
Belgium,2022,11,Military,Allocation,7285280.0,75027456.08
Belgium,2022,12,Military,Allocation,1444400.0,15142078.52
Belgium,2023,1,Humanitarian,Allocation,600000.0,6447600.0
Belgium,2023,1,Military,Allocation,94039642.0,1011866547.92
Belgium,2023,3,Military,Allocation,3448471.600000024,39480516.806920275
Belgium,2023,5,Financial,Allocation,8000000.0,93048000.0
Belgium,2023,5,Humanitarian,Allocation,24000000.0,279144000.0
Belgium,2023,5,Military,Allocation,60000000.0,697860000.0
Belgium,2023,6,Financial,Allocation,1500000.0,17634450.0
Belgium,2023,6,Humanitarian,Allocation,16310000.0,190864538.0
Belgium,2023,6,Military,Allocation,1500000.0,17275500.0
Belgium,2023,7,Military,Allocation,685016.5316659561,7767744.960826109
Belgium,2023,10,Financial,Allocation,1000000.0,11516000.0
Belgium,2023,11,Humanitarian,Allocation,2500000.0,29210000.0
Belgium,2023,12,Financial,Allocation,10000000.0,114495000.0
Belgium,2023,12,Financial,Commitment,0.0,0.0
Belgium,2023,12,Humanitarian,Allocation,2000000.0,22731000.0
Belgium,2023,12,Humanitarian,Commitment,0.0,0.0
Belgium,2023,12,Military,Allocation,21000000.0,240439500.0
Belgium,2023,12,Military,Commitment,0.0,0.0
Belgium,2024,2,Military,Allocation,534000000.0,6131828000.0
Belgium,2024,3,Financial,Allocation,10000000.0,116824999.99999999
Belgium,2024,3,Humanitarian,Allocation,15000000.0,175237500.0
Belgium,2024,3,Military,Allocation,512000000.0,5914696000.0
Belgium,2024,4,Humanitarian,Allocation,9000000.0,106195500.0
Belgium,2024,4,Military,Allocation,204300000.0,2410637850.0
Belgium,2024,5,Financial,Allocation,10000000.0,117080000.0
Belgium,2024,5,Humanitarian,Allocation,8000000.0,93136000.0
Belgium,2024,7,Humanitarian,Allocation,51590000.0,607024425.0
Belgium,2024,12,Humanitarian,Allocation,200000.0,2368700.0
Belgium,2025,1,Humanitarian,Allocation,150000000.0,1769250000.0
Belgium,2025,4,Military,Commitment,0.0,0.0
Belgium,2025,5,Military,Allocation,703698313.0,8187529871.755
Belgium,2025,6,Humanitarian,Allocation,0.0,0.0
Belgium,2025,6,Military,Allocation,156301687.06582862,1846313678.4651005
Belgium,2025,7,Military,Allocation,140000000.0,1672440000.0
Belgium,2025,8,Military,Allocation,100000000.0,1174650000.0
Belgium,2026,2,Humanitarian,Allocation,80342.875,900523.1144375
Bulgaria,2022,2,Humanitarian,Allocation,0.0,0.0
Bulgaria,2022,4,Humanitarian,Allocation,706000.0,6988693.999999999
Bulgaria,2022,4,Military,Allocation,3512424.838000351,33577025.238864355
Bulgaria,2022,5,Humanitarian,Allocation,0.0,0.0
Bulgaria,2022,5,Military,Allocation,0.0,0.0
Bulgaria,2022,12,Military,Allocation,18887864.54702853,198974209.07067204
Bulgaria,2023,7,Military,Allocation,2782765.770537547,31300549.387006324
Bulgaria,2023,8,Humanitarian,Allocation,163238.9902597844,1886471.5629808512
Bulgaria,2024,2,Humanitarian,Allocation,100000.0,1137600.0
Bulgaria,2024,4,Financial,Allocation,60000.0,693990.0
Bulgaria,2024,6,Humanitarian,Allocation,511299.72389814927,5875345.127313633
Bulgaria,2024,9,Military,Allocation,0.0,0.0
Bulgaria,2024,11,Humanitarian,Allocation,475007.1581961348,5656860.24695777
Bulgaria,2024,12,Military,Allocation,0.0,0.0
Bulgaria,2026,1,Humanitarian,Allocation,16304.0,191087.7712
Bulgaria,2026,2,Humanitarian,Allocation,0.0,0.0
Bulgaria,2026,2,Military,Allocation,0.0,0.0
Canada,2022,1,Humanitarian,Allocation,35008518.739559956,350487785.3611045
Canada,2022,1,Military,Allocation,230356053.30630457,2306209627.6760683
